Event	ID	Name			Wwise Object Path	Notes
	166950546	Play_ChargerMissRight			\Default Work Unit\Charger\Play_ChargerMissRight	
	282746656	Play_ChargerFootstepRight			\Default Work Unit\Charger\Play_ChargerFootstepRight	
	520370339	Play_ChargerHitRight			\Default Work Unit\Charger\Play_ChargerHitRight	
	543040975	Play_ChargerMissLeft			\Default Work Unit\Charger\Play_ChargerMissLeft	
	590263643	WeakenTokenSelect			\Default Work Unit\UI\WeakenTokenSelect	
	732023582	PlayerFootstepSolidLeft			\Default Work Unit\Player\Footsteps\PlayerFootstepSolidLeft	
	846198821	PlayerLand			\Default Work Unit\Player\PlayerLand	
	899748333	WeaponSwing			\Default Work Unit\Player\WeaponSwing	
	953277036	Resume			\Default Work Unit\UI\Resume	
	1517328899	FoodBiomeSelect			\Default Work Unit\UI\FoodBiomeSelect	
	2492898533	EmpowerTokenSelect			\Default Work Unit\UI\EmpowerTokenSelect	
	2525052962	PlayerDash			\Default Work Unit\Player\PlayerDash	
	2655804996	Play_ChargerHitLeft			\Default Work Unit\Charger\Play_ChargerHitLeft	
	2903558085	ButtonSelect			\Default Work Unit\UI\ButtonSelect	
	3035572085	ButtonHover			\Default Work Unit\UI\ButtonHover	
	3092587493	Pause			\Default Work Unit\UI\Pause	
	3128074203	CardSelect			\Default Work Unit\UI\CardSelect	
	3581650749	PlayerFootstepSolidRight			\Default Work Unit\Player\Footsteps\PlayerFootstepSolidRight	
	3632326709	Play_ChargerFootstepLeft			\Default Work Unit\Charger\Play_ChargerFootstepLeft	
	4008126242	PlayerJump			\Default Work Unit\Player\PlayerJump	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	458271427	ButtonHover	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\ButtonHover_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\ButtonHover		534624
	587497112	ChargerHitRight	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\ChargerHitRight_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Charger\ChargerHitRight		272908
	666999680	PlayerFootstepSolidLeft	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\PlayerFootstepSolidLeft_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PlayerFootstepSolidLeft		284696
	732349458	ChargerMissRight	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\ChargerMissRight_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Charger\ChargerMissRight		242412
	846379177	PlayerJump	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\PlayerJump_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PlayerJump		300680
	849657380	EmpowerTokenSelect	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\EmpowerTokenSelect_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\EmpowerTokenSelect		354360
	851750572	WeakenTokenSelect	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\WeakenTokenSelect_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\WeakenTokenSelect		282060
	939970087	ChargerMissLeft	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\ChargerMissLeft_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Charger\ChargerMissLeft		242412
	1003731978	PlayerDash	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\PlayerDash_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PlayerDash		300864
	1044931328	ChargerHitLeft	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\ChargerHitLeft_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Charger\ChargerHitLeft		272908

